File,epsilon_inf,t_sw,t_au,m,n,chi,reduced_chi,R_sq
A_022_15,1786.3733043772256,63.20424160328879,2.2865487377746367,2.181250021032263,1.4704125185058352,463.2013831013466,19.3000576292227740.9802534618086185,
A_023_01,825.1768547240143,1614.5213979173666,6.480161752224713,6.788527143811598e-15,1.0059437019967987,89.69634173571117,5.9797561157140780.9806969535905292,
A_023_02,4612.950334125936,2407.5884458490523,3.3681511204817687,3.769615974032326e-18,0.3248605973406435,1708.9523941820144,81.378685437238770.947211650130171,
A_023_03,83348.58593063641,928.5279210614765,96379314921012.2,2.422763263610737,0.1045091488379404,9.999999999999996e-251,-inf0.9951184986329774,
A_023_04,7266.687386616052,46871.785230108435,0.5104348365702217,6.921685522290747e-24,0.8934072453306976,5557.308096802331,308.73933871124070.9317136818496371,
A_023_05,648.4442556242577,42.2388744703159,16.35141535177578,4.999999999999999,1.236506668964122,50.1124296725031,4.1760358060419250.9760743308130696,
A_023_06,5541.503502175916,4.9990979418587775,31.057675804285733,1.4491787864491752,0.22331433791048752,40.29024874635239,3.09924990356556850.9943292717643356,
A_023_07,3000.832297621916,325.5494129714716,1.180776163539604,6.660264390739635e-26,3.8000284640506887,7047.875877718934,469.858391847928940.8495995141538599,
A_023_08,5662.241895106218,25369.919228223265,0.3366401549944784,5.774463935592992e-16,0.5622805651948117,420.7504730920882,26.2969045682555170.9819195322894614,
A_023_09,5385.25586726752,1256.6352460993564,0.982786991055972,4.999999999998339,0.2855410014041284,219.09230323192082,24.3435892479911970.9747637045607711,
A_023_10,3821.577917194007,10222.390817533817,0.6373732491501604,4.999990164326831,0.5794492241348117,533.3763727684121,59.264041418712470.9531724793397296,
A_023_11,2805.1886135237223,2616.001175048033,0.644066885104186,2.1221023761325302e-29,1.4849914202797068,1125.4894934794677,86.576114883035960.9509382012600648,
A_023_12,2375.4091858988268,28624.420796435497,0.8348708895148149,3.1784299370119336e-28,1.4688064849221143,935.7608273883856,62.38405515922570.9643629920566762,
A_023_13,6622.611962052466,256413226168.83154,0.3779576641663548,4.9994545979566745,1.1348573817950829,5624.180985813581,468.68174881779850.8819845772131029,
A_023_14,6370.766696764829,20561.25229863869,0.44415104115784015,1.129288927514172e-22,1.0076232583566322,2742.5657054892386,195.897550392088480.9528172744754282,
A_023_15,4972.31539212991,120333.11870216294,0.7562837892563106,3.7693316760068035e-28,1.8016241497578804,1905.9929046584475,146.61483881988060.9515185597675242,
A_023_16,4028.8413114264977,127065.37715403235,1.4285891743694408,8.161171983065384e-28,1.5412325960472657,3672.930289591413,262.352163542243830.9689473501544092,
A_024_01,3766.987197173449,117775.77114257534,2.023348119931268,1.350777380617207e-28,1.5173018893987769,2998.9071864268817,136.313963019403730.9745910288036517,
A_024_02,1570.278557498329,13324.561349405392,3.1316981874657386,3.034080652136889e-25,1.2754187575958136,292.4494806224638,18.278092538903990.9792120248009631,
A_024_03,1427.292019760845,3.536939291595853e-37,2.8680088094872813,0.35486332989131897,1.0252385736146554,49.245318882647155,3.51752277733193970.99129550479206,
A_024_04,1049.0305677834033,3.9246234262872244e-09,2.9346651082492405,0.023599924757331404,1.1394838253813868,34.70362652672616,2.6695097328250890.9876696514036579,
A_031_02,3118.003195815037,6936.723329935471,36.650642501153456,2.2909223985451067e-18,1.006257674119334,762.1982270520211,44.835189826589480.9759113668805088,
A_031_04,4101.828891318407,1.5356450398673225e-06,30.253367115480465,4.569439502805912,0.7762965974337606,1229.6521954240816,64.718536601267450.9791249831590759,
A_031_06,4241.071172062597,1655.655645445328,42.28321431544618,2.8909530931038714e-30,1.0413594328345035,1151.6625324606962,60.613817497931380.9837100292502814,
A_031_08,5260.514811652241,602.9787388216199,72.30015699592482,2.3119783392068047,0.9043684757453576,382.21664871448996,18.2007927959280950.9967105621181516,
A_033_01,10107.19747867861,3.498005990157413,496.04312517456975,1.8265339959561813,0.7195533653281092,627.5467891283076,8.9649541304043950.995565066360085,
