Unnamed: 0,File,type,Geometry,timescale,w/c,a/c,c,t dry,SiO2,FlyAsh,dt,shrinkage strain,t,wb,ab
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,27.0,3.0,117.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,28.0,3.0,118.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,33.0,3.0,123.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,34.0,4.0,124.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,55.0,4.0,145.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,77.0,6.0,167.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,95.0,6.0,185.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,113.0,7.0,203.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,131.0,7.0,221.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,147.0,8.0,237.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,167.0,8.0,257.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,196.0,8.0,286.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,229.0,10.0,319.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,256.0,11.0,346.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,286.0,13.0,376.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,319.0,13.0,409.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,362.0,13.0,452.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,363.0,13.0,453.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,376.0,14.0,466.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,392.0,15.0,482.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,417.0,13.0,507.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,440.0,14.0,530.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,466.0,13.0,556.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,480.0,13.0,570.0,0.331,3.833
128,e_051_02,auto,C 152.4x406.4,linear,0.331,3.833,465.6,90.0,0.0,0.0,487.0,13.0,577.0,0.331,3.833
140,e_051_14,auto,C 152.4x406.4,linear,0.425,4.645,404.0,90.0,0.0,0.0,0.0,0.0,90.0,0.425,4.645
140,e_051_14,auto,C 152.4x406.4,linear,0.425,4.645,404.0,90.0,0.0,0.0,1.0,3.0,91.0,0.425,4.645
140,e_051_14,auto,C 152.4x406.4,linear,0.425,4.645,404.0,90.0,0.0,0.0,2.0,3.0,92.0,0.425,4.645
140,e_051_14,auto,C 152.4x406.4,linear,0.425,4.645,404.0,90.0,0.0,0.0,7.0,3.0,97.0,0.425,4.645
140,e_051_14,auto,C 152.4x406.4,linear,0.425,4.645,404.0,90.0,0.0,0.0,14.0,-4.0,104.0,0.425,4.645
140,e_051_14,auto,C 152.4x406.4,linear,0.425,4.645,404.0,90.0,0.0,0.0,20.0,-4.0,110.0,0.425,4.645
